Score,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,ID
55,Bachelors,2013,Pune,1,0,0,No,3,1,2
70,Masters,2017,New Delhi,2,0,1,No,2,0,10
55,Bachelors,2015,Pune,2,0,0,No,0,1,19
55,Bachelors,2013,Pune,2,0,0,No,2,1,29
70,Masters,2017,New Delhi,2,0,0,No,2,0,30
70,Masters,2017,New Delhi,2,0,1,No,1,0,42
70,Masters,2017,New Delhi,2,0,1,No,0,0,49
65,PHD,2013,Bangalore,2,0,1,No,3,1,63
55,Bachelors,2014,Pune,1,0,0,No,0,1,64
25,Masters,2017,New Delhi,2,0,0,No,3,1,75
110,PHD,2015,New Delhi,1,0,1,No,1,0,80
55,Bachelors,2016,Pune,2,0,1,No,0,1,86
25,Bachelors,2017,Pune,2,0,0,No,5,1,87
100,Masters,2015,Pune,2,0,0,No,4,0,88
70,Bachelors,2017,New Delhi,2,0,1,No,3,0,120
70,Masters,2017,New Delhi,2,0,1,No,2,0,135
25,Bachelors,2017,Pune,2,0,0,No,2,1,142
55,Bachelors,2016,Pune,2,0,0,No,2,1,155
70,Bachelors,2017,New Delhi,2,0,1,No,4,0,189
55,Masters,2013,Bangalore,2,0,0,No,2,1,213
55,Bachelors,2015,Pune,1,0,0,Yes,2,1,225
55,Bachelors,2014,Pune,2,0,0,No,5,1,229
100,Masters,2015,Pune,2,0,0,No,3,0,235
25,Masters,2017,Bangalore,2,0,0,No,4,1,238
100,Bachelors,2016,Bangalore,1,0,0,No,2,0,251
25,Bachelors,2018,Pune,2,0,0,No,2,1,257
55,Bachelors,2016,Pune,2,0,0,No,5,1,262
100,Bachelors,2012,Pune,1,0,1,No,4,0,264
100,Masters,2016,New Delhi,1,0,1,No,5,0,266
25,Masters,2017,Pune,2,0,0,No,4,1,271
55,Bachelors,2015,Pune,1,0,0,No,3,1,283
70,Masters,2017,New Delhi,2,0,0,No,5,0,286
70,Masters,2017,New Delhi,2,0,0,No,3,0,292
55,Bachelors,2013,Pune,2,0,0,No,1,1,332
55,Bachelors,2015,New Delhi,2,0,0,No,5,1,335
