Score,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,ID
100,Bachelors,2014,Bangalore,1,0,0,No,5,0,4404
70,Bachelors,2017,New Delhi,2,0,1,No,2,0,403
70,Bachelors,2017,New Delhi,2,0,0,No,5,0,260
70,Masters,2017,New Delhi,2,0,1,No,1,0,2673
70,Masters,2017,Pune,2,0,0,No,3,0,3141
70,Masters,2017,New Delhi,2,0,1,No,2,0,708
25,Bachelors,2018,Pune,2,0,0,No,0,1,3723
25,Masters,2017,New Delhi,2,0,1,No,2,1,1619
70,Masters,2017,Pune,2,0,0,No,2,0,3221
25,Bachelors,2018,New Delhi,2,0,0,No,0,1,38
35,PHD,2018,New Delhi,2,0,0,No,4,1,2797
70,Masters,2017,Pune,2,0,1,No,1,0,2310
70,Bachelors,2017,Pune,2,0,1,No,1,0,3416
55,Bachelors,2015,Pune,2,0,0,Yes,0,1,3086
70,Bachelors,2017,New Delhi,2,0,1,No,4,0,2872
55,Bachelors,2015,New Delhi,2,0,0,Yes,2,1,712
70,Masters,2017,Pune,2,1,1,Yes,2,0,3111
70,Bachelors,2017,New Delhi,2,0,1,No,5,0,2948
55,Bachelors,2016,Bangalore,2,0,1,No,3,1,1319
55,Bachelors,2015,Pune,2,0,0,No,2,1,1725
55,Bachelors,2015,Pune,1,0,0,No,2,1,1586
25,Bachelors,2017,Bangalore,2,0,0,No,2,1,1922
25,Bachelors,2017,Pune,2,0,0,No,5,1,2583
55,Bachelors,2014,New Delhi,2,0,0,No,2,1,390
25,Masters,2017,Pune,2,0,0,No,3,1,1032
55,Bachelors,2015,Pune,2,0,0,No,2,1,4346
70,Masters,2017,Pune,2,0,1,No,3,0,955
25,Masters,2017,New Delhi,2,0,1,No,5,1,481
100,Masters,2014,New Delhi,1,0,0,No,3,0,1775
70,Bachelors,2017,New Delhi,2,0,0,No,3,0,811
55,Bachelors,2015,Pune,2,0,0,No,3,1,1393
70,Bachelors,2017,New Delhi,2,1,0,No,5,0,4356
110,PHD,2016,New Delhi,1,0,1,No,4,0,1660
25,Bachelors,2017,New Delhi,2,0,0,No,2,1,1874
70,Bachelors,2017,New Delhi,2,0,0,No,5,0,505
55,Bachelors,2014,Pune,2,0,0,No,3,1,659
55,Bachelors,2016,Pune,2,0,0,No,5,1,3117
25,Masters,2017,Pune,2,0,0,No,2,1,429
25,Masters,2017,Bangalore,2,1,1,Yes,2,1,3776
70,Masters,2017,Pune,2,0,1,No,5,0,348
55,Bachelors,2016,Bangalore,2,0,0,No,4,1,2686
55,Bachelors,2015,New Delhi,2,0,0,No,3,1,3714
70,Bachelors,2017,New Delhi,2,0,0,No,5,0,1757
55,Bachelors,2015,Pune,2,0,0,No,2,1,631
55,Bachelors,2016,Pune,2,0,0,No,2,1,1504
55,Bachelors,2012,Pune,2,0,0,No,4,1,1000
55,Bachelors,2014,Pune,2,0,0,No,3,1,201
100,Bachelors,2015,Bangalore,1,0,0,No,1,0,730
55,Bachelors,2013,Pune,2,0,0,No,1,1,2785
25,Masters,2017,Pune,2,0,1,No,1,1,3634
55,Bachelors,2013,Pune,1,0,0,No,0,1,4459
55,Bachelors,2012,Pune,2,0,0,No,1,1,3640
55,Masters,2013,New Delhi,2,0,1,No,2,1,1357
100,Bachelors,2012,Pune,1,0,1,No,4,0,1665
100,Bachelors,2014,Pune,2,0,1,No,4,0,1608
55,Bachelors,2013,Pune,2,0,0,No,5,1,2952
100,Bachelors,2013,Pune,2,0,1,Yes,5,0,4499
70,Bachelors,2017,New Delhi,2,0,1,No,6,0,3973
70,Masters,2017,Pune,2,0,0,No,1,0,2126
